"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@Estagiario_NFL Washington não é um time ruim. O problema é a falta de um QB #NFLnaESPN #NFL",FALSE,0,"Estagiario_NFL",2021-09-16 17:29:16,FALSE,"1438554603029733379","1438555599797694469","1123592149038194689","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marcelomholanda",0,FALSE,FALSE,NA,NA
"2","RT @cover_football: Confrontos da Semana 2 da NFL <U+0001F447><U+0001F447><U+0001F447>

#NFLBrasil #NFLnaESPN #NFL https://t.co/dg6FxMgLyv",FALSE,0,NA,2021-09-16 17:14:52,FALSE,NA,"1438551974199402497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alanvalhalla",3,TRUE,FALSE,NA,NA
"3","DE Demarcus Lawrence (DAL) quebrou o pé, durante os treinamentos de ontem, e não tem previsão de retorno. 

Via… https://t.co/M54aXVTPZg",FALSE,0,NA,2021-09-16 17:08:53,TRUE,NA,"1438550468943355914",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","blogsaidafalsa",0,FALSE,FALSE,NA,NA
"4","#HojeNaHistoria, em 2018, temos Patrick Mahomes anotando o recorde de touch downs...

#NFLnaESPN #NFLBr #NFLBrasil… https://t.co/gSztlkqHMW",FALSE,1,NA,2021-09-16 17:08:49,TRUE,NA,"1438550450597412870",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DodgersDaMassa",0,FALSE,FALSE,NA,NA
"5","começou a temporada da #NFL e o #tailgatezone quer testar seus conhecimentos sobre a história da liga.

#NFLnaESPN… https://t.co/DedirLb57A",FALSE,0,NA,2021-09-16 17:07:21,TRUE,NA,"1438550083318988805",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DodgersDaMassa",0,FALSE,FALSE,NA,NA
"6","DE Chandler Jones (ARI) foi eleito o Jogador Defensivo da Semana 1 da NFC.

Acho que não existia dúvida quanto a is… https://t.co/87hX0MaWw3",FALSE,0,NA,2021-09-16 17:06:30,TRUE,NA,"1438549869820616707",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","blogsaidafalsa",0,FALSE,FALSE,NA,NA
"7","RT @nfl_bigode: Repassando para quem não viu, essa é a tabela da semana 2.

#NFLnaESPN #NFLBrasil https://t.co/svXlXwIh2d",FALSE,0,NA,2021-09-16 16:54:59,FALSE,NA,"1438546973188034566",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">NFLttBot</a>","nflttbr",1,TRUE,FALSE,NA,NA
"8","Repassando para quem não viu, essa é a tabela da semana 2.

#NFLnaESPN #NFLBrasil https://t.co/svXlXwIh2d",FALSE,12,NA,2021-09-16 16:47:23,FALSE,NA,"1438545058383507459",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nfl_bigode",1,FALSE,FALSE,NA,NA
"9","RT @thefairplaybr: #NFL #TogetherBlue: A última aparição dos Giants em um #TNF foi com essa jogada surreal de Daniel Jones em confronto for…",FALSE,0,NA,2021-09-16 16:47:06,FALSE,NA,"1438544988502204424",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">NFLttBot</a>","nflttbr",1,TRUE,FALSE,NA,NA
"10","#NFL #TogetherBlue: A última aparição dos Giants em um #TNF foi com essa jogada surreal de Daniel Jones em confront… https://t.co/rPfZIRli1a",FALSE,2,NA,2021-09-16 16:37:39,TRUE,NA,"1438542610260533249",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thefairplaybr",1,FALSE,FALSE,NA,NA
"11","RT @thefairplaybr: #NFL #RaiderNation: Por conta desta corrida de 31jds no épico #MNF de 2a, o QB Marcus Mariota agravou uma velha lesão no…",FALSE,0,NA,2021-09-16 16:37:31,FALSE,NA,"1438542575019962377",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">NFLttBot</a>","nflttbr",1,TRUE,FALSE,NA,NA
"12","#NFL #RaiderNation: Por conta desta corrida de 31jds no épico #MNF de 2a, o QB Marcus Mariota agravou uma velha les… https://t.co/HOfLzQQ271",FALSE,2,NA,2021-09-16 16:31:13,TRUE,NA,"1438540991343087624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thefairplaybr",1,FALSE,FALSE,NA,NA
"13","RT @NFLFantasyBR_: <U+0001F538>Seu maior aliado para trocas no fantasy football chegou! Confira o TRADE VALUE CHART! <U+0001F525>

<U+27A1><U+FE0F> Os valores são variáveis se…",FALSE,0,NA,2021-09-16 16:06:28,FALSE,NA,"1438534760868065285",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","matheusvchaves",3,TRUE,FALSE,NA,NA
"14","RT @jacquelinearq: Qual a expectativa real de vcs pro jogo de hoje entre #TogetherBlue e #WashingtonFootball ?! #NFLnaESPN",FALSE,0,NA,2021-09-16 15:36:22,FALSE,NA,"1438527186466713600",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">NFLttBot</a>","nflttbr",1,TRUE,FALSE,NA,NA
"15","Qual a expectativa real de vcs pro jogo de hoje entre #TogetherBlue e #WashingtonFootball ?! #NFLnaESPN",FALSE,4,NA,2021-09-16 15:34:50,FALSE,NA,"1438526798950813697",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jacquelinearq",1,FALSE,FALSE,NA,NA
"16","RT @cover_football: Confrontos da Semana 2 da NFL <U+0001F447><U+0001F447><U+0001F447>

#NFLBrasil #NFLnaESPN #NFL https://t.co/dg6FxMgLyv",FALSE,0,NA,2021-09-16 15:31:37,FALSE,NA,"1438525992369262593",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WiilSep",3,TRUE,FALSE,NA,NA
"17","RT @ariaguiar: Esse treco vai ficar pra história. Aí o vídeo de ontem do Daniel Jones. #NFLnaESPN https://t.co/OF7FPasVJ4",FALSE,0,NA,2021-09-16 15:28:44,FALSE,NA,"1438525264716238850",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">NFLttBot</a>","nflttbr",773,TRUE,FALSE,NA,NA
"18","RT @42mathias_: Daniel Jones vs O Cervejeiro #NFLnaESPN https://t.co/XmLjnQq8fD",FALSE,0,NA,2021-09-16 15:20:05,FALSE,NA,"1438523089030156288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Edson_Paes_RJ",2,TRUE,FALSE,NA,NA
"19","RT @ariaguiar: Esse treco vai ficar pra história. Aí o vídeo de ontem do Daniel Jones. #NFLnaESPN https://t.co/OF7FPasVJ4",FALSE,0,NA,2021-09-16 15:18:56,FALSE,NA,"1438522797639278592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ducarrasco",773,TRUE,FALSE,NA,NA
"20","RT @cover_football: Confrontos da Semana 2 da NFL <U+0001F447><U+0001F447><U+0001F447>

#NFLBrasil #NFLnaESPN #NFL https://t.co/dg6FxMgLyv",FALSE,0,NA,2021-09-16 15:06:19,FALSE,NA,"1438519623461351424",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">NFLttBot</a>","nflttbr",3,TRUE,FALSE,NA,NA
"21","Confrontos da Semana 2 da NFL <U+0001F447><U+0001F447><U+0001F447>

#NFLBrasil #NFLnaESPN #NFL https://t.co/dg6FxMgLyv",FALSE,5,NA,2021-09-16 14:59:37,FALSE,NA,"1438517939448139786",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cover_football",3,FALSE,FALSE,NA,NA
"22","RT @Sylker3D: E aí, galera da #NFLnaESPN que assinou o @StarPlusBR, da pra ver jogos depois ou só ao vivo? É pro meu TCC...",FALSE,0,NA,2021-09-16 14:55:37,FALSE,NA,"1438516929849806853",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">NFLttBot</a>","nflttbr",1,TRUE,FALSE,NA,NA
"23","RT @blogsaidafalsa: Como eu disse anteriormente, a primeira vista não parece bom,  mas para cruzar a linha e, quem sabe, virar um ótimo jog…",FALSE,0,NA,2021-09-16 14:55:36,FALSE,NA,"1438516927962365952",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">NFLttBot</a>","nflttbr",2,TRUE,FALSE,NA,NA
