"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@LulaOficial É vdd,eu tbm tô com saudades! #Lula 2022<U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+0001F64C><U+0001F64C><U+0001F64C><U+0001F64C>",FALSE,0,"LulaOficial",2021-09-16 17:18:11,FALSE,"1438203553118556167","1438552808123424771","2670726740","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","b_enavane",0,FALSE,FALSE,NA,NA
"2","RT @Uruburoxo1: Oi Rosana <U+0001F44F><U+0001F44F><U+0001F44F><U+2698><U+0001F337><U+0001F339><U+0001F337><U+0001F339><U+0001F31F><U+0001F6A9>#FORABOLSONARO<U+0001F4AA><U+0001F6A9><U+0001F6A9><U+0001F6A9><U+0001F1E7><U+0001F1F7><U+0001F6A9><U+0001F6A9><U+0001F6A9><U+0001F33F><U+0001F33F><U+0001F33F><U+0001F1E7><U+0001F1F7><U+0001F31F><U+0001F320>#LULA 2022Presidente do BRASIL <U+2764><U+0001F1E7><U+0001F1F7>",FALSE,0,NA,2021-09-16 15:45:55,FALSE,NA,"1438529591816114178",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ropinheiro7",0,TRUE,FALSE,NA,NA
"3","Até agora temos 2 prefeitos do #PSDB envolvidos em desvios de dinheiro da saúde. O de Rio grande da serra já foi af… https://t.co/BMIeO2bDkj",FALSE,1,NA,2021-09-16 15:30:52,TRUE,NA,"1438525803856334849",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cirobispo",0,FALSE,FALSE,NA,NA
"4","Brasil, 2001: campanha Agora É Lula.
Campanha até hoje lembrada e repetida por muito que viveram àquela época.… https://t.co/YYhnBNIvhr",FALSE,0,NA,2021-09-16 15:30:14,TRUE,NA,"1438525643084402690",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Fotosecores",0,FALSE,FALSE,NA,NA
"5","Link: https://t.co/lCDKcXxYBy

Para ouvir meu novo single, basta clicar no link acima.
<U+2063><U+2063>
#mpb… https://t.co/vAKvNFZRnT",FALSE,0,NA,2021-09-16 15:19:05,TRUE,NA,"1438522835920637955",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jcanobre",0,FALSE,FALSE,NA,NA
"6","@sdsuter @DeputadoFederal @LulaOficial As tais “provas” não passavam de uma lista RASURADA e FALSIFICADA pra inclui… https://t.co/bfFc52IPSU",FALSE,0,"sdsuter",2021-09-16 15:15:39,TRUE,"1438303269588189187","1438521973018030080","1141498534669312000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VeraLula2",0,FALSE,FALSE,NA,NA
"7","RT @ClaraidesPerei1: @Alexand92840726 @LulaOficial @EsquerdaSil @lacerdaeh @Simonycorredora @prudentemarlene @laudeci_m @andr67272991 @MilV…",FALSE,0,NA,2021-09-16 15:03:13,FALSE,NA,"1438518843404554252",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","laudeci_m",1,TRUE,FALSE,NA,NA
"8","RT @DanielPearl2: Recordando: Dilma Rousseff participa de ato político no Rio de Janeiro. (Rio de Janeiro - RJ, 21/09/2016) Foto: Roberto S…",FALSE,0,NA,2021-09-16 14:58:29,FALSE,NA,"1438517652192837634",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SelmaPaschoal",4,TRUE,FALSE,NA,NA
"9","É isso mesmo, seu #Lula? Vai dizer que não sabia dessa também?

Para quem criou o maior conglomerado de educação PR… https://t.co/fn1xTeqwQj",FALSE,2,NA,2021-09-16 14:44:33,TRUE,NA,"1438514147197546508",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DanNoToco",0,FALSE,FALSE,NA,NA
"10","@Alexand92840726 @LulaOficial @EsquerdaSil @lacerdaeh @Simonycorredora @prudentemarlene @laudeci_m @andr67272991… https://t.co/4tKEMH2kHR",FALSE,3,"Alexand92840726",2021-09-16 14:44:26,TRUE,"1437008680092938240","1438514116264488961","1137476837750312963","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ClaraidesPerei1",1,FALSE,FALSE,NA,NA
