"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","se a dona @FIFAcom e o sr #COI já tivessem decidido resolver de vez essa questão do futsal nas olimpíadas, a gente… https://t.co/uNaKSp6Vlb",FALSE,0,NA,2021-09-16 17:37:38,TRUE,NA,"1438557705975869442",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","danesouzacruz",0,FALSE,FALSE,NA,NA
"2","RT @JogosOlimpicos: De arrepiar! <U+0001F632>  Que espetáculo a coreografia de apresentação dos Jogos Paralímpicos #Paris2024, recebendo o bastão de #…",FALSE,0,NA,2021-09-16 17:27:11,FALSE,NA,"1438555076050685958",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Perdida_fab15",23,TRUE,FALSE,NA,NA
"3","RT @Pontifex_pt: Neste tempo de pandemia, que as Olimpíadas de Tóquio sejam um sinal de esperança, um sinal de fraternidade universal sob a…",FALSE,0,NA,2021-09-16 17:17:18,FALSE,NA,"1438552586987220999",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Thiagoe26233209",837,TRUE,FALSE,NA,NA
"4","RT @JogosOlimpicos: De arrepiar! <U+0001F632>  Que espetáculo a coreografia de apresentação dos Jogos Paralímpicos #Paris2024, recebendo o bastão de #…",FALSE,0,NA,2021-09-16 17:17:07,FALSE,NA,"1438552542443708424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","luizacanesso4",23,TRUE,FALSE,NA,NA
"5","RT @JogosOlimpicos: De arrepiar! <U+0001F632>  Que espetáculo a coreografia de apresentação dos Jogos Paralímpicos #Paris2024, recebendo o bastão de #…",FALSE,0,NA,2021-09-16 17:10:27,FALSE,NA,"1438550862708846599",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","juliasancho00",23,TRUE,FALSE,NA,NA
"6","RT @SurtoOlimpico: A gente mal piscou e já tem Mundial de Canoagem Velocidade rolando!

Depois do sucesso em #Tokyo2020 os brasileiros disp…",FALSE,0,NA,2021-09-16 17:01:06,FALSE,NA,"1438548512363491331",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MateusNagime",2,TRUE,FALSE,NA,NA
"7","RT @JogosOlimpicos: De arrepiar! <U+0001F632>  Que espetáculo a coreografia de apresentação dos Jogos Paralímpicos #Paris2024, recebendo o bastão de #…",FALSE,0,NA,2021-09-16 16:59:22,FALSE,NA,"1438548074289410048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LB_Sil8",23,TRUE,FALSE,NA,NA
"8","RT @JogosOlimpicos: De arrepiar! <U+0001F632>  Que espetáculo a coreografia de apresentação dos Jogos Paralímpicos #Paris2024, recebendo o bastão de #…",FALSE,0,NA,2021-09-16 16:54:12,FALSE,NA,"1438546772931104769",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PotiguarDeMacau",23,TRUE,FALSE,NA,NA
"9","RT @JogosOlimpicos: De arrepiar! <U+0001F632>  Que espetáculo a coreografia de apresentação dos Jogos Paralímpicos #Paris2024, recebendo o bastão de #…",FALSE,0,NA,2021-09-16 16:51:59,FALSE,NA,"1438546214987894785",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","M_louisae",23,TRUE,FALSE,NA,NA
"10","RT @SurtoOlimpico: A gente mal piscou e já tem Mundial de Canoagem Velocidade rolando!

Depois do sucesso em #Tokyo2020 os brasileiros disp…",FALSE,0,NA,2021-09-16 16:27:18,FALSE,NA,"1438540002598825991",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Adriana11100542",2,TRUE,FALSE,NA,NA
"11","A gente mal piscou e já tem Mundial de Canoagem Velocidade rolando!

Depois do sucesso em #Tokyo2020 os brasileiros… https://t.co/W4DrSepq45",FALSE,14,NA,2021-09-16 16:23:39,TRUE,NA,"1438539086562799621",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SurtoOlimpico",2,FALSE,FALSE,NA,NA
"12","RT @JogosOlimpicos: De arrepiar! <U+0001F632>  Que espetáculo a coreografia de apresentação dos Jogos Paralímpicos #Paris2024, recebendo o bastão de #…",FALSE,0,NA,2021-09-16 16:13:46,FALSE,NA,"1438536597016829953",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LoveFutFeminino",23,TRUE,FALSE,NA,NA
"13","RT @JogosOlimpicos: De arrepiar! <U+0001F632>  Que espetáculo a coreografia de apresentação dos Jogos Paralímpicos #Paris2024, recebendo o bastão de #…",FALSE,0,NA,2021-09-16 16:05:24,FALSE,NA,"1438534494735192067",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PFaliph",23,TRUE,FALSE,NA,NA
"14","RT @JogosOlimpicos: De arrepiar! <U+0001F632>  Que espetáculo a coreografia de apresentação dos Jogos Paralímpicos #Paris2024, recebendo o bastão de #…",FALSE,0,NA,2021-09-16 16:04:25,FALSE,NA,"1438534244138197001",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","leandroquatel",23,TRUE,FALSE,NA,NA
"15","RT @JogosOlimpicos: De arrepiar! <U+0001F632>  Que espetáculo a coreografia de apresentação dos Jogos Paralímpicos #Paris2024, recebendo o bastão de #…",FALSE,0,NA,2021-09-16 15:56:09,FALSE,NA,"1438532167089500168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ruthspacetime",23,TRUE,FALSE,NA,NA
"16","RT @JogosOlimpicos: De arrepiar! <U+0001F632>  Que espetáculo a coreografia de apresentação dos Jogos Paralímpicos #Paris2024, recebendo o bastão de #…",FALSE,0,NA,2021-09-16 15:56:07,FALSE,NA,"1438532157266333696",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MariaBetania01",23,TRUE,FALSE,NA,NA
"17","RT @JogosOlimpicos: De arrepiar! <U+0001F632>  Que espetáculo a coreografia de apresentação dos Jogos Paralímpicos #Paris2024, recebendo o bastão de #…",FALSE,0,NA,2021-09-16 15:41:16,FALSE,NA,"1438528421601103876",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VH_Kobayashi",23,TRUE,FALSE,NA,NA
"18","RT @JogosOlimpicos: De arrepiar! <U+0001F632>  Que espetáculo a coreografia de apresentação dos Jogos Paralímpicos #Paris2024, recebendo o bastão de #…",FALSE,0,NA,2021-09-16 15:40:34,FALSE,NA,"1438528241694908417",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","heeeyoshe",23,TRUE,FALSE,NA,NA
"19","RT @JogosOlimpicos: De arrepiar! <U+0001F632>  Que espetáculo a coreografia de apresentação dos Jogos Paralímpicos #Paris2024, recebendo o bastão de #…",FALSE,0,NA,2021-09-16 15:35:46,FALSE,NA,"1438527034519654402",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Johnnyhpg",23,TRUE,FALSE,NA,NA
"20","RT @JogosOlimpicos: De arrepiar! <U+0001F632>  Que espetáculo a coreografia de apresentação dos Jogos Paralímpicos #Paris2024, recebendo o bastão de #…",FALSE,0,NA,2021-09-16 15:34:53,FALSE,NA,"1438526811541999620",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Raquel55953661",23,TRUE,FALSE,NA,NA
"21","RT @JogosOlimpicos: De arrepiar! <U+0001F632>  Que espetáculo a coreografia de apresentação dos Jogos Paralímpicos #Paris2024, recebendo o bastão de #…",FALSE,0,NA,2021-09-16 15:33:16,FALSE,NA,"1438526406565122049",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ogirdorSF",23,TRUE,FALSE,NA,NA
"22","RT @JogosOlimpicos: De arrepiar! <U+0001F632>  Que espetáculo a coreografia de apresentação dos Jogos Paralímpicos #Paris2024, recebendo o bastão de #…",FALSE,0,NA,2021-09-16 15:32:55,FALSE,NA,"1438526319579500545",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","arthuredandrade",23,TRUE,FALSE,NA,NA
